,codigo_vivienda,nro_hogar,tiene_computadora,acceso_internet,uso_internet,uso_computadora,uso_movil
0,TQRMNOPPQHJMKPCDEIHJF00626473,1,1,1,1,1,1
1,TQRMNOPPQHJMKPCDEIHJF00626473,1,1,1,1,1,1
2,TQRMNOPPQHKMKNCDEIHJF00620952,1,1,1,1,1,1
3,TQRMNOPPQHKMKNCDEIHJF00620952,1,1,1,1,1,1
4,TQRMNOPPQHKMKNCDEIHJF00620952,1,1,1,1,1,2
5,TQRMNOPPQHKMKNCDEIHJF00620952,1,1,1,1,1,2
6,TQRMNOPPRHJMKPCDEIHJF00626438,1,1,1,1,1,1
7,TQRMNOPPRHKNKQCDEIHJF00620859,1,1,1,1,1,1
8,TQRMNOPPRHKNKQCDEIHJF00620859,1,1,1,1,1,1
9,TQRMNOPPRHKNKQCDEIHJF00620859,1,1,1,1,1,1
10,TQRMNOPPSHJMKMCDEIHJF00626453,1,1,1,1,2,1
11,TQRMNOPPSHJMKMCDEIHJF00626453,1,1,1,2,2,1
12,TQRMNOPPSHJMKMCDEIHJF00626453,1,1,1,2,2,1
13,TQRMNOPPSHJMKMCDEIHJF00626453,1,1,1,1,1,1
14,TQRMNOPPSHJMKPCDEIHJF00626420,1,1,1,1,1,1
15,TQRMNOPPSHJMKPCDEIHJF00626420,1,1,1,1,2,1
16,TQRMNOPPSHJMKPCDEIHJF00626420,1,1,1,1,2,1
17,TQRMNOPPSHKNKQCDEIHJF00620920,1,1,1,1,1,1
18,TQRMNOPPSHKNKQCDEIHJF00620920,1,1,1,1,1,1
19,TQRMNOPPSHKNKQCDEIHJF00620920,1,1,1,1,1,1
20,TQRMNOPPSHKNKQCDEIHJF00620920,1,1,1,1,1,1
21,TQRMNOPPTHKNKQCDEIHJF00620890,1,1,1,1,1,1
22,TQRMNOPPTHKNKQCDEIHJF00620890,1,1,1,1,1,1
23,TQRMNOPPUHJMKMCDEIHJF00626445,1,1,2,1,2,1
24,TQRMNOPPUHJMKMCDEIHJF00626445,1,1,2,1,1,1
25,TQRMNOPPUHJMKMCDEIHJF00626445,1,1,2,2,2,2
26,TQRMNOPPUHJMKPCDEIHJF00626404,1,1,1,1,1,1
27,TQRMNOPPUHJMKPCDEIHJF00626404,1,1,1,1,1,1
28,TQRMNOPPUHJMKPCDEIHJF00626404,1,1,1,1,1,1
29,TQRMNOPPUHJMKPCDEIHJF00626404,1,1,1,1,2,2
30,TQRMNOPPUHJMKPCDEIHJF00626404,1,1,1,1,2,2
31,TQRMNOPPUHJMKPCDEIHJF00626404,1,1,1,1,2,2
32,TQRMNOPPUHJNKQCDEIHJF00626395,1,1,1,2,2,1
33,TQRMNOPPUHJNKQCDEIHJF00626395,1,1,1,2,2,1
34,TQRMNOPPUHKMKNCDEIHJF00620961,1,1,1,1,1,1
35,TQRMNOPPUHKMKNCDEIHJF00620961,1,1,1,1,1,1
36,TQRMNOPPVHJNKQCDEIHJF00626483,1,1,1,2,2,1
37,TQRMNOPPVHJNKQCDEIHJF00626483,1,1,1,1,1,1
38,TQRMNOPPWHJNKQCDEIHJF00626381,1,1,1,1,1,1
39,TQRMNOPQRHJNKQCDEIHJF00626443,1,1,1,2,2,1
40,TQRMNOPQRHJNKQCDEIHJF00626443,1,1,1,1,1,1
41,TQRMNOPQSHKMKSCDEIHJF00620958,1,1,1,1,1,1
42,TQRMNOPQSHKMKSCDEIHJF00620958,1,1,1,1,1,1
43,TQRMNOPQSHKMKSCDEIHJF00620958,1,1,1,1,1,2
44,TQRMNOPQTHJNKQCDEIHJF00626435,1,1,1,1,1,1
45,TQRMNOPQTHJNKQCDEIHJF00626435,1,1,1,1,1,1
46,TQRMNOPQTHJNKQCDEIHJF00626435,1,1,1,1,1,1
47,TQRMNOPQTHJNKQCDEIHJF00626435,1,1,1,1,1,1
