CODUSU;NRO_HOGAR;COMPONENTE;ANO4;TRIMESTRE;AGLOMERADO;POND_TIC;RESPONDENTE;IP_III_04;IP_III_05;IP_III_06
"TQRMNOPPQHJMKMCDEFIAH00622969";1;1;2018;4;2;539;1;1;1;1
"TQRMNOPPQHJMKMCDEFIAH00622969";1;2;2018;4;2;539;1;1;1;1
"TQRMNOPPQHJMKMCDEFIAH00622969";1;3;2018;4;2;539;1;1;1;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;1;2018;4;2;545;2;1;1;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;2;2018;4;2;545;2;1;1;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;3;2018;4;2;545;2;1;1;1
"TQRMNOPPQHJMLUCDEFIAH00622993";1;4;2018;4;2;545;2;1;1;1
"TQRMNOPPQHMMLUCDEFIAH00594749";1;1;2018;4;2;612;1;1;1;1
"TQRMNOPPQHMMLUCDEFIAH00594749";1;2;2018;4;2;612;1;1;1;1
"TQRMNOPPQHMMLUCDEFIAH00594749";1;3;2018;4;2;612;1;1;1;1
"TQRMNOPPQHMMLUCDEFIAH00594749";1;4;2018;4;2;612;1;1;1;1
"TQRMNOPPQHMMLUCDEFIAH00594749";1;5;2018;4;2;612;1;1;1;1
"TQRMNOPPRHJMLUCDEFIAH00623008";1;1;2018;4;2;545;1;1;2;1
"TQRMNOPPSHJMKMCDEFIAH00623022";1;1;2018;4;2;539;1;1;1;1
"TQRMNOPPSHJMKMCDEFIAH00623022";1;2;2018;4;2;539;1;1;2;1
"TQRMNOPPSHJMKMCDEFIAH00623022";1;3;2018;4;2;539;1;1;2;2
"TQRMNOPPSHJMKMCDEFIAH00623022";1;4;2018;4;2;539;1;1;1;1
"TQRMNOPPSHMMLUCDEFIAH00594736";1;1;2018;4;2;612;1;2;2;2
"TQRMNOPPTHJMLUCDEFIAH00622905";1;1;2018;4;2;545;1;2;2;2
